Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1604559004.635388,24,1604559004,635387897,gps,0,1,22.338715725,114.26361304833334,96.07,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559004.835123,25,1604559004,835123062,gps,0,1,22.338715751666665,114.26361303166668,96.08,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559005.039567,26,1604559005,39566993,gps,0,1,22.338715801666662,114.263613145,96.102,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559005.235939,27,1604559005,235939025,gps,0,1,22.338715836666665,114.26361318666666,96.118,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559005.436401,28,1604559005,436400890,gps,0,1,22.338715945,114.26361315833331,96.131,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559005.636586,29,1604559005,636585950,gps,0,1,22.33871595,114.26361318666666,96.142,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559005.835665,30,1604559005,835664987,gps,0,1,22.33871595,114.26361323833332,96.154,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559006.040389,31,1604559006,40389060,gps,0,1,22.338715951666668,114.26361316666669,96.156,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559006.236583,32,1604559006,236582994,gps,0,1,22.33871587166667,114.26361321333331,96.17,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559006.434968,33,1604559006,434967994,gps,0,1,22.33871581,114.26361317833332,96.151,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559006.635309,34,1604559006,635308980,gps,0,1,22.33871590833333,114.263613195,96.182,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559006.83609,35,1604559006,836090087,gps,0,1,22.33871598833333,114.26361326333334,96.2,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559007.039018,36,1604559007,39017915,gps,0,1,22.33871605333333,114.263613305,96.221,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559007.235358,37,1604559007,235357999,gps,0,1,22.33871608833333,114.26361330833332,96.229,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559007.436185,38,1604559007,436184883,gps,0,1,22.33871607833333,114.26361335833332,96.247,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559007.635821,39,1604559007,635821104,gps,0,1,22.338716096666666,114.263613365,96.247,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559007.835628,40,1604559007,835628032,gps,0,1,22.33871614,114.26361352666666,96.278,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559008.040081,41,1604559008,40081024,gps,0,1,22.338716226666666,114.26361351666668,96.285,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559008.235734,42,1604559008,235733985,gps,0,1,22.338716198333334,114.263613505,96.278,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559008.43541,43,1604559008,435410022,gps,0,1,22.33871620333333,114.26361361166668,96.313,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559008.635743,44,1604559008,635742902,gps,0,1,22.338716206666668,114.26361356833333,96.308,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559008.835221,45,1604559008,835221052,gps,0,1,22.338716211666668,114.26361363666666,96.326,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559009.039608,46,1604559009,39608001,gps,0,1,22.338716181666666,114.26361356,96.326,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559009.236337,47,1604559009,236336946,gps,0,1,22.33871622833333,114.263613615,96.33,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559009.43604,48,1604559009,436039924,gps,0,1,22.338716161666667,114.26361357833332,96.345,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559009.63596,49,1604559009,635960102,gps,0,1,22.338716135,114.26361358833331,96.339,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559009.835965,50,1604559009,835964918,gps,0,1,22.338716116666667,114.26361357666669,96.357,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559010.039652,51,1604559010,39652109,gps,0,1,22.338716151666667,114.26361356166667,96.359,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559010.236698,52,1604559010,236697912,gps,0,1,22.33871615833333,114.263613535,96.368,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559010.437131,53,1604559010,437130928,gps,0,1,22.338716153333333,114.26361357166668,96.38,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559010.635374,54,1604559010,635374069,gps,0,1,22.338716131666665,114.263613525,96.375,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559010.835394,55,1604559010,835393905,gps,0,1,22.338716111666667,114.26361356166667,96.387,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559011.040274,56,1604559011,40273904,gps,0,1,22.33871608,114.26361352,96.387,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559011.235671,57,1604559011,235671043,gps,0,1,22.338716058333333,114.263613515,96.389,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559011.43636,58,1604559011,436359882,gps,0,1,22.338716051666665,114.26361347,96.407,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559011.636086,59,1604559011,636085987,gps,0,1,22.338716036666668,114.263613535,96.423,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559011.835608,60,1604559011,835608005,gps,0,1,22.338715961666665,114.26361349,96.416,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559012.040404,61,1604559012,40404081,gps,0,1,22.338715841666662,114.26361346666668,96.413,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559012.23682,62,1604559012,236819982,gps,0,1,22.338715896666667,114.26361352333332,96.45,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559012.435841,63,1604559012,435841083,gps,0,1,22.33871581833333,114.26361351,96.435,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559012.637293,64,1604559012,637293100,gps,0,1,22.338715796666666,114.26361346166668,96.455,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559012.835198,65,1604559012,835197925,gps,0,1,22.338715768333334,114.26361353,96.449,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559013.038582,66,1604559013,38582086,gps,0,1,22.33871577333333,114.263613555,96.475,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559013.235811,67,1604559013,235810995,gps,0,1,22.338715766666667,114.26361362333331,96.482,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559013.436661,68,1604559013,436661005,gps,0,1,22.338715728333334,114.26361347666666,96.463,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
1604559013.635726,69,1604559013,635725975,gps,0,1,22.33871575,114.26361353666668,96.49,13.2496,0.0,0.0,0.0,13.2496,0.0,0.0,0.0,211.9936,1
